Lat,Lon,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3787204592977,-71.1510733499151,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3787896921353,-71.1510900576859,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3788849861888,-71.1511187474143,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3708547095602,-71.0934557724387,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3708225933784,-71.093352375096,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3707717752671,-71.0931890589168,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3706972500936,-71.0932357740807,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3705668056491,-71.09358306579,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3704942085859,-71.0934666126213,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3704526746445,-71.0935923892044,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.370270543752,-71.0935262618077,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3701737764312,-71.0935087993598,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3699180521403,-71.0934306202473,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3698133321932,-71.0933978968943,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3697135865867,-71.0933716812623,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3696810217643,-71.0932187959841,15.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3696004439102,-71.0939275514861,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3707716271489,-71.0941006215748,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3706581452837,-71.0941464072245,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3705835506282,-71.094174752685,31.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3705686809004,-71.0940376188616,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3704931106616,-71.0942065106316,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3702558002151,-71.0942964624227,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3702028483189,-71.0941727963259,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3698951692496,-71.0942891992574,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3697928416595,-71.094472300684,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3697152609929,-71.0945016139419,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3690103970696,-71.0947687567682,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3689702832857,-71.0947812740624,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3695877341624,-71.0933220876055,14.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3694919574999,-71.0932940287689,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3695587997439,-71.093181728818,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3694208532695,-71.0931388409093,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3690944309379,-71.0933480014759,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3690321398773,-71.093230489334,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3690144707075,-71.0933311705112,10.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3690238627353,-71.093743344018,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3690013011218,-71.0938780781443,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3689115363971,-71.0939084691323,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
