LAT_DEG,LONG_DEG,As
24.3,91.666,21.4
24.373,91.751,14.6
24.69,92.188,1.8
24.793,92.241,0.5
24.739,92.208,1.5
24.749,92.143,0.5
24.667,92.192,2.5
24.655,92.148,18.4
24.573,92.167,1.7
24.697,91.943,0.5
24.684,91.983,0.5
24.656,91.987,0.5
24.665,91.944,0.5
24.741,91.926,12.4
24.792,92.034,0.5
24.754,92.022,0.5
24.8,91.985,0.5
24.815,91.971,2.7
24.848,91.936,5.9
24.848,92.023,4.6
24.848,92.023,4.8
25.044,92.2,50.1
24.908,92.129,5.5
24.912,92.139,5
24.99,92.348,11
24.995,92.271,35.8
25.108,91.762,8.6
25.108,91.761,24.7
25.044,91.804,24.8
24.944,92.442,83.3
24.892,92.485,0.5
24.874,92.436,35.7
24.94,92.23,3.3
25.134,91.95,58
25.043,91.988,20.2
24.996,91.992,6.2
24.926,91.494,60.7
24.887,91.479,36
24.916,91.428,55.9
24.922,91.411,51.7
24.876,91.351,44.4
24.978,91.368,27.2
25.093,91.428,32.8
24.939,91.685,15.9
24.999,91.664,8.2
24.927,91.692,24.3
24.796,92.166,0.5
24.855,92.185,5.2
24.88,92.214,51.9
24.898,92.14,0.5
25.155,92.021,0.5
25.156,92.108,14.3
25.092,92.107,19
25.064,92.116,6.7
25.065,92.151,1.5
24.91,91.77,9.2
24.923,91.876,0.5
24.919,91.961,7.1
24.89,91.892,0.5
24.87,91.914,0.5
24.802,91.915,29.7
24.814,91.864,0.5
24.804,91.547,19.4
24.767,91.532,15.8
24.753,91.571,10.8
24.723,91.574,1.9
24.77,91.555,12.5
24.787,91.638,33.8
24.791,91.664,34.7
24.926,91.511,58.7
24.942,91.589,37.2
24.939,91.651,28.1
25.077,91.779,70.3
24.992,91.853,0.5
25.064,91.87,61.4
24.092,91.581,1.3
24.15,91.55,0.5
24.258,91.536,34.2
24.271,91.476,33.3
24.269,91.479,20.3
24.193,91.431,0.5
24.142,91.487,0.5
24.306,91.3,1.6
24.286,91.26,39.6
24.261,91.254,10.6
24.274,91.283,0.5
24.298,91.518,19.1
24.369,91.572,0.5
24.363,91.523,16
24.098,91.289,0.5
24.105,91.273,11
24.048,91.359,0.5
24.157,91.352,0.5
24.2,91.317,0.5
24.213,91.363,0.5
24.355,91.447,17.3
24.307,91.432,8.1
24.275,91.364,0.5
